,Parameter,Parameter,Filepath,KPI,KPI
,deterministic,deterministic,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
1:,80.0,0.35,sp1_80_0_sp2_0_35.erg,0.6886001205444336,0.8776952182971282
2:,80.0,0.475,sp1_80_0_sp2_0_48.erg,0.6166879510879517,1.191689264495338
3:,80.0,0.6,sp1_80_0_sp2_0_6.erg,0.5439726686477662,1.5043825443331993
4:,80.0,0.725,sp1_80_0_sp2_0_72.erg,0.46909373760223394,1.8203186136485139
5:,80.0,0.85,sp1_80_0_sp2_0_85.erg,0.39354628086090093,2.130377893423052
6:,100.0,0.35,sp1_100_0_sp2_0_35.erg,0.6614777421951294,0.8620360698903623
7:,100.0,0.475,sp1_100_0_sp2_0_48.erg,0.5796648836135865,1.168014851473148
8:,100.0,0.6,sp1_100_0_sp2_0_6.erg,0.49711829185485845,1.483090673934595
9:,100.0,0.725,sp1_100_0_sp2_0_72.erg,0.41312056541442876,1.7762570396423316
10:,100.0,0.85,sp1_100_0_sp2_0_85.erg,0.3275533294677735,2.0781400019024288
11:,120.0,0.35,sp1_120_0_sp2_0_35.erg,0.640159068107605,0.8152217984273458
12:,120.0,0.475,sp1_120_0_sp2_0_48.erg,0.5510088777542115,1.1505854788918135
13:,120.0,0.6,sp1_120_0_sp2_0_6.erg,0.4605998373031617,1.4514096708828361
14:,120.0,0.725,sp1_120_0_sp2_0_72.erg,0.3689588880538941,1.7568524285279774
15:,120.0,0.85,sp1_120_0_sp2_0_85.erg,0.27601605415344244,2.0567228138081317
16:,140.0,0.35,sp1_140_0_sp2_0_35.erg,0.6205413913726807,0.8063623679044757
17:,140.0,0.475,sp1_140_0_sp2_0_48.erg,0.5246010398864747,1.1348139069970065
18:,140.0,0.6,sp1_140_0_sp2_0_6.erg,0.42722314357757574,1.4327632427095505
19:,140.0,0.725,sp1_140_0_sp2_0_72.erg,0.3283416604995728,1.7284128629085516
20:,140.0,0.85,sp1_140_0_sp2_0_85.erg,0.2281524515151978,2.0283491285222
21:,160.0,0.35,sp1_160_0_sp2_0_35.erg,0.6031631803512574,0.7969914285377772
22:,160.0,0.475,sp1_160_0_sp2_0_48.erg,0.5012657022476197,1.0804610386189073
23:,160.0,0.6,sp1_160_0_sp2_0_6.erg,0.39780348300933843,1.4097688065934588
24:,160.0,0.725,sp1_160_0_sp2_0_72.erg,0.29302352428436285,1.7030303089834053
25:,160.0,0.85,sp1_160_0_sp2_0_85.erg,0.18638926506042486,1.9925573642584071
26:,180.0,0.35,sp1_180_0_sp2_0_35.erg,0.5864450311660767,0.7897342380477207
27:,180.0,0.475,sp1_180_0_sp2_0_48.erg,0.478832540512085,1.0694660647630083
28:,180.0,0.6,sp1_180_0_sp2_0_6.erg,0.3694701766967774,1.3935245425424514
29:,180.0,0.725,sp1_180_0_sp2_0_72.erg,0.25892370700836187,1.6823504745109852
30:,180.0,0.85,sp1_180_0_sp2_0_85.erg,0.1459216451644898,1.9691742465236195
