,Parameter,Parameter,Filepath,KPI,KPI
,epistemic,aleatory,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
1:1:1:,79.0,0.358186035022167,sp1_80_0_sp2_0_35/ep1_79_0/aps1.erg,0.4386150217056275,0.8136972295549189
1:1:2:,79.0,0.336606811636218,sp1_80_0_sp2_0_35/ep1_79_0/aps2.erg,0.4653970575332642,0.7645680576898128
1:2:1:,80.0,0.3382167166303655,sp1_80_0_sp2_0_35/ep1_80_0/aps1.erg,0.46380299091339117,0.7673332337609584
1:2:2:,80.0,0.3521715102918226,sp1_80_0_sp2_0_35/ep1_80_0/aps2.erg,0.4464892721176148,0.799532886032811
1:3:1:,81.0,0.3705050813128734,sp1_80_0_sp2_0_35/ep1_81_0/aps1.erg,0.42379253864288335,0.8404711442375062
1:3:2:,81.0,0.3468438403515391,sp1_80_0_sp2_0_35/ep1_81_0/aps2.erg,0.45313590526580816,0.7866584090237605
2:1:1:,79.0,0.597481231647623,sp1_80_0_sp2_0_6/ep1_79_0/aps1.erg,0.14435881137847906,1.359758154010482
2:1:2:,79.0,0.5935185417978875,sp1_80_0_sp2_0_6/ep1_79_0/aps2.erg,0.14916413784027105,1.3507837233232234
2:2:1:,80.0,0.6076748197045627,sp1_80_0_sp2_0_6/ep1_80_0/aps1.erg,0.1327230310440064,1.3818402813500275
2:2:2:,80.0,0.602851721146553,sp1_80_0_sp2_0_6/ep1_80_0/aps2.erg,0.1385657167434693,1.3713174591296895
2:3:1:,81.0,0.6158648500727771,sp1_80_0_sp2_0_6/ep1_81_0/aps1.erg,0.12265389919281011,1.3994984754810258
2:3:2:,81.0,0.5908236574615295,sp1_80_0_sp2_0_6/ep1_81_0/aps2.erg,0.15303474426269537,1.3426310353784277
3:1:1:,79.0,0.8486292736743086,sp1_80_0_sp2_0_85/ep1_79_0/aps1.erg,0.0,1.931444010538369
3:1:2:,79.0,0.8556177841382775,sp1_80_0_sp2_0_85/ep1_79_0/aps2.erg,0.0,1.9476496212981476
3:2:1:,80.0,0.8482877149793401,sp1_80_0_sp2_0_85/ep1_80_0/aps1.erg,0.0,1.9288584732353509
3:2:2:,80.0,0.8472318662286145,sp1_80_0_sp2_0_85/ep1_80_0/aps2.erg,0.0,1.926143665491331
3:3:1:,81.0,0.8436819763711642,sp1_80_0_sp2_0_85/ep1_81_0/aps1.erg,0.0,1.9190094574839667
3:3:2:,81.0,0.8618867554575258,sp1_80_0_sp2_0_85/ep1_81_0/aps2.erg,0.0,1.9591917973695083
4:1:1:,112.33333333333334,0.3664382088863919,sp1_113_33_sp2_0_35/ep1_79_0/aps1.erg,0.4238207912445069,0.8175423147677358
4:1:2:,112.33333333333334,0.3421153055232325,sp1_113_33_sp2_0_35/ep1_79_0/aps2.erg,0.4545308923721314,0.7324253290498683
4:2:1:,113.33333333333334,0.3500961531852551,sp1_113_33_sp2_0_35/ep1_80_0/aps1.erg,0.44418698310852056,0.7494333885339793
4:2:2:,113.33333333333334,0.3604484231571628,sp1_113_33_sp2_0_35/ep1_80_0/aps2.erg,0.43110924720764165,0.8028979519828006
4:3:1:,114.33333333333334,0.3444636998304383,sp1_113_33_sp2_0_35/ep1_81_0/aps1.erg,0.4509988403320313,0.7368536708185186
4:3:2:,114.33333333333334,0.3597527613475654,sp1_113_33_sp2_0_35/ep1_81_0/aps2.erg,0.43167918682098394,0.7696568511939283
5:1:1:,112.33333333333334,0.5895940341162681,sp1_113_33_sp2_0_6/ep1_79_0/aps1.erg,0.14394813537597662,1.3164649056731426
5:1:2:,112.33333333333334,0.5953548098295964,sp1_113_33_sp2_0_6/ep1_79_0/aps2.erg,0.13672965526580816,1.3303582948740567
5:2:1:,113.33333333333334,0.6009355799766615,sp1_113_33_sp2_0_6/ep1_80_0/aps1.erg,0.12921815872192388,1.3418785145564327
5:2:2:,113.33333333333334,0.6211830197730668,sp1_113_33_sp2_0_6/ep1_80_0/aps2.erg,0.1038308715820313,1.389410821861492
5:3:1:,114.33333333333334,0.6049415660072246,sp1_113_33_sp2_0_6/ep1_81_0/aps1.erg,0.12364166736602789,1.349236206719201
5:3:2:,114.33333333333334,0.6068973356195261,sp1_113_33_sp2_0_6/ep1_81_0/aps2.erg,0.12118559837341314,1.3540622023091808
6:1:1:,112.33333333333334,0.8428781454039999,sp1_113_33_sp2_0_85/ep1_79_0/aps1.erg,0.0,1.870999149609287
6:1:2:,112.33333333333334,0.8484352448933745,sp1_113_33_sp2_0_85/ep1_79_0/aps2.erg,0.0,1.8820214511888311
