,Parameter,Parameter,Filepath,KPI,KPI
,epistemic,aleatory,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
1:1:1:,79.0,0.358186035022167,sp1_80_0_sp2_0_35/ep1_79_0/aps1.erg,0.6852607107162476,0.8988118383089244
1:1:2:,79.0,0.336606811636218,sp1_80_0_sp2_0_35/ep1_79_0/aps2.erg,0.6975479698181153,0.8447188277930423
1:2:1:,80.0,0.3382167166303655,sp1_80_0_sp2_0_35/ep1_80_0/aps1.erg,0.6953551149368287,0.8478379277767317
1:2:2:,80.0,0.3521715102918226,sp1_80_0_sp2_0_35/ep1_80_0/aps2.erg,0.6873546218872071,0.8830690838385197
1:3:1:,81.0,0.3705050813128734,sp1_80_0_sp2_0_35/ep1_81_0/aps1.erg,0.6751518821716309,0.9277786409121969
1:3:2:,81.0,0.3468438403515391,sp1_80_0_sp2_0_35/ep1_81_0/aps2.erg,0.6888363933563233,0.8684720052555356
2:1:1:,79.0,0.597481231647623,sp1_80_0_sp2_0_6/ep1_79_0/aps1.erg,0.547757682800293,1.4985445889110938
2:1:2:,79.0,0.5935185417978875,sp1_80_0_sp2_0_6/ep1_79_0/aps2.erg,0.5500786876678467,1.488670547038895
2:2:1:,80.0,0.6076748197045627,sp1_80_0_sp2_0_6/ep1_80_0/aps1.erg,0.5394359207153321,1.5231853882042679
2:2:2:,80.0,0.602851721146553,sp1_80_0_sp2_0_6/ep1_80_0/aps2.erg,0.5422880029678345,1.511507312653737
2:3:1:,81.0,0.6158648500727771,sp1_80_0_sp2_0_6/ep1_81_0/aps1.erg,0.5318725681304932,1.542542392613222
2:3:2:,81.0,0.5908236574615295,sp1_80_0_sp2_0_6/ep1_81_0/aps2.erg,0.5467620468139649,1.4798142353739274
3:1:1:,79.0,0.8486292736743086,sp1_80_0_sp2_0_85/ep1_79_0/aps1.erg,0.39754301071167,2.128612785781714
3:1:2:,79.0,0.8556177841382775,sp1_80_0_sp2_0_85/ep1_79_0/aps2.erg,0.3932741260528565,2.1464643473213973
3:2:1:,80.0,0.8482877149793401,sp1_80_0_sp2_0_85/ep1_80_0/aps1.erg,0.3945962762832642,2.1260697185394806
3:2:2:,80.0,0.8472318662286145,sp1_80_0_sp2_0_85/ep1_80_0/aps2.erg,0.3952434635162354,2.124507980058299
3:3:1:,81.0,0.8436819763711642,sp1_80_0_sp2_0_85/ep1_81_0/aps1.erg,0.3937110280990601,2.1137580012767887
3:3:2:,81.0,0.8618867554575258,sp1_80_0_sp2_0_85/ep1_81_0/aps2.erg,0.38245719432830816,2.1585550483341542
4:1:1:,112.33333333333334,0.3664382088863919,sp1_113_33_sp2_0_35/ep1_79_0/aps1.erg,0.6368449306488038,0.8928186158922685
4:1:2:,112.33333333333334,0.3421153055232325,sp1_113_33_sp2_0_35/ep1_79_0/aps2.erg,0.6535708284378052,0.8005455084551694
4:2:1:,113.33333333333334,0.3500961531852551,sp1_113_33_sp2_0_35/ep1_80_0/aps1.erg,0.6470285034179688,0.8188275860240901
4:2:2:,113.33333333333334,0.3604484231571628,sp1_113_33_sp2_0_35/ep1_80_0/aps2.erg,0.6398797607421876,0.8679773268805285
4:3:1:,114.33333333333334,0.3444636998304383,sp1_113_33_sp2_0_35/ep1_81_0/aps1.erg,0.6498975133895875,0.8047676512307755
4:3:2:,114.33333333333334,0.3597527613475654,sp1_113_33_sp2_0_35/ep1_81_0/aps2.erg,0.6392957544326783,0.8406064630455595
5:1:1:,112.33333333333334,0.5895940341162681,sp1_113_33_sp2_0_6/ep1_79_0/aps1.erg,0.4815260744094849,1.4341263617060451
5:1:2:,112.33333333333334,0.5953548098295964,sp1_113_33_sp2_0_6/ep1_79_0/aps2.erg,0.47747879981994634,1.4493409291782222
5:2:1:,113.33333333333334,0.6009355799766615,sp1_113_33_sp2_0_6/ep1_80_0/aps1.erg,0.47174125671386724,1.4613791207419846
5:2:2:,113.33333333333334,0.6211830197730668,sp1_113_33_sp2_0_6/ep1_80_0/aps2.erg,0.45741754531860357,1.510964484926497
5:3:1:,114.33333333333334,0.6049415660072246,sp1_113_33_sp2_0_6/ep1_81_0/aps1.erg,0.46712893009185796,1.4689066581691002
5:3:2:,114.33333333333334,0.6068973356195261,sp1_113_33_sp2_0_6/ep1_81_0/aps2.erg,0.46573942661285406,1.4741296122899872
6:1:1:,112.33333333333334,0.8428781454039999,sp1_113_33_sp2_0_85/ep1_79_0/aps1.erg,0.30054372310638433,2.0431447739952424
